,name,name_rus,texts_number,texts_percent
1,4th Earl of Chesterfield,nan,1,0.0003803727653100038
2,A. A. Milne,Алан Александр Милн,3,0.0011411182959300114
3,A. Michael Spence,nan,1,0.0003803727653100038
4,AUREL BRAUN,nan,1,0.0003803727653100038
5,Adalbert Stifter,Адальберт Штифтер,7,0.0026626093571700264
6,Adrián Mac Liman,nan,1,0.0003803727653100038
7,Agneta Pleijel,Агнета Плейель,1,0.0003803727653100038
8,Aivars Kalve,Айвар Калве,1,0.0003803727653100038
9,Alberts Bels,Алберт Бэл,3,0.0011411182959300114
10,Alejo Carpentier,Алехо Карпентьер,1,0.0003803727653100038
11,Aleksis Kivi,Алексис Киви,2,0.0007607455306200076
12,Alessandro Baricco,Алессандро Барикко,1,0.0003803727653100038
13,Alessandro Manzoni,Алессандро Мандзони,1,0.0003803727653100038
14,Alexander Markovsky,nan,1,0.0003803727653100038
15,Alfredo Relaño,nan,1,0.0003803727653100038
16,Amelia Gentleman and Nick Hopkins,nan,1,0.0003803727653100038
17,Amie Ferris-Rotman,nan,1,0.0003803727653100038
18,Andrea Camilleri,Андреа Камиллери,1,0.0003803727653100038
19,Andreï Makine,Андрей Макин,1,0.0003803727653100038
20,Andrejs Upīts,Андрей Упит,5,0.001901863826550019
21,Andrew Buncombe,nan,1,0.0003803727653100038
22,Andrew Higgins,nan,1,0.0003803727653100038
23,Andrew Miller,nan,1,0.0003803727653100038
24,Andris Jakubāns,Андрис Якубан,2,0.0007607455306200076
25,Andris Puriņš,Андрис Пуриньш,1,0.0003803727653100038
26,Andrzej Kublik,Анджей Кублик,1,0.0003803727653100038
27,Andrzej Sapkowski,Анджей Сапковский,6,0.002282236591860023
28,Angel Gómez Fuentes,nan,1,0.0003803727653100038
29,Anjani Trivedi,nan,1,0.0003803727653100038
30,Anna Brigadere,Анна Бригадере,1,0.0003803727653100038
31,Anna Zafesova,Анна Зафесова,1,0.0003803727653100038
32,Annika Thor,Анника Тор,2,0.0007607455306200076
33,Antanas Škėma,Антанас Шкема,1,0.0003803727653100038
34,Anthony Lane,nan,1,0.0003803727653100038
35,Antoine de Saint-Exupéry,Антуан де Сент-Экзюпери,1,0.0003803727653100038
36,Armando Fernández-Xesta,nan,1,0.0003803727653100038
37,Arthur Conan Doyle,Артур Конан Дойл,17,0.006466337010270064
38,Arthur Hailey,Артур Хейли,1,0.0003803727653100038
39,Arthur Schnitzler,Артур Шницлер,2,0.0007607455306200076
40,Astrid Lindgren,Астрид Линдгрен,1,0.0003803727653100038
41,August Strindberg,Август Стриндберг,2,0.0007607455306200076
42,Barcelona Turisme,Barcelona Turisme,1,0.0003803727653100038
43,Ben Rosen,nan,1,0.0003803727653100038
44,Benito Pérez Galdós,Бенито Перес Гальдос,1,0.0003803727653100038
