,lang,texts_number,sents_number,tokens_number,tokens_percent
1,eng,677,1852353,28363771,0.2891533860181771
2,arm,28,188336,2211635,0.022546428995154102
3,bash,124,124246,550286,0.005609869723542705
4,bel,286,1108749,10855454,0.11066551344193847
5,bul,42,306763,3774650,0.03848052603913324
6,bua,7,26742,401388,0.004091934718661495
7,esp,121,146556,2343769,0.02389346403884155
8,ita,117,298668,4841742,0.04935895489800777
9,zho,10,15727,279350,0.0028478229634620084
10,lav,140,275444,2966278,0.030239608392382884
11,lit,47,58597,552649,0.005633959237280528
12,ger,86,572379,9666631,0.09854610252770259
13,pol,54,500364,6319222,0.06442106863366501
14,ukr,850,904010,9336237,0.09517791344522517
15,fra,47,320797,5058103,0.05156463889370351
16,fin,12,153930,1779040,0.018136355700438343
17,cze,16,96762,1493114,0.015221493954775777
18,sve,78,565395,6682811,0.06812766288267946
19,est,8,63042,616344,0.006283295495228308
