,corpus_id,author_id,second_author_id,translator_id,second_translator_id,name_original,name_translated,sphere,creation_date,translation_date,sents_number,tokens_number
1,1,3,0,196,0,Preventing the Balkanization of the Internet [Renewing America],Как предотвратить балканизацию интернета,"нехудожественная, публицистика",2018,2018,72,1720
2,1,4,0,196,0,The reality behind Putin’s fire and fury [The Globe and Mail],Что кроется за путинским гневом и пламенем,"нехудожественная, публицистика",2018,2018,66,1416
3,1,17,0,196,0,Chechnya’s leader uses World Cup to extend his outreach to Middle East [The Washington Post],Руководитель Чечни воспользовался ЧМ-2018 для сближения с Ближним Востоком,"нехудожественная, публицистика",2018,2018,86,1906
4,1,21,0,196,0,"Israeli intervention in US elections ‘vastly overwhelms' anything Russia has done, claims Noam Chomsky [The Independent]",Вмешательство Израиля в американские выборы затмевает любые вероятные действия России — Ноам Хомский,"нехудожественная, публицистика",2018,2018,46,1210
5,1,23,0,196,0,Rome and Moscow Fight for Control of Eastern Orthodox Church [The Trumpet],Рим и Москва борются за контроль над православной церковью,"нехудожественная, публицистика",2018,2018,74,1532
6,1,34,0,196,0,“Red Sparrow” and “Foxtrot” [The New Yorker ],«Красный воробей» и «Фокстрот»,"нехудожественная, публицистика",2018,2018,160,3040
7,1,47,0,196,0,Business Opportunities And Challenges In Russia [Forbes],Бизнес в России – возможности и проблемы,"нехудожественная, публицистика",2018,2018,108,1819
8,1,51,0,196,0,Russia Frolicks Past Egypt at the World Cup [The New Yorker ],Россия на чемпионате мира обходит Египет,"нехудожественная, публицистика",2018,2018,46,980
9,1,60,216,196,0,Demystifying Menstruation [Project Syndicate],Демистификация менструации,"нехудожественная, публицистика",2018,2018,18,411
10,1,65,0,196,0,Trump authorizes sanctions to punish foreign interference in US elections [CNBC (США)],Трамп вводит обширные санкции за будущее вмешательство в выборы,"нехудожественная, публицистика",2018,2018,30,919
11,1,72,0,196,0,"NATO Supreme Allied Commander: Russia Won't Overwhelm Alliance in War [The National Interest,]",Верховный главнокомандующий НАТО: Россия не сможет победить Альянс в войне,"нехудожественная, публицистика",2018,2018,40,969
12,1,72,0,196,0,Russia's Dangerous S-400 Air Defense System is Headed to China (And Maybe Turkey) [The National Interest] (Опасный российский ЗРК С-400 отправлен в Китай,и может быть поставлен в Турцию),"нехудожественная, публицистика",2018,2018,52,1038
13,1,72,0,196,0,Could China Save the Most Vital Part of Russia's Aircraft Carrier Program? [The National Interest],Сможет ли Китай спасти важнейшую часть российской авианосной программы?,"нехудожественная, публицистика",2018,2018,38,945
14,1,73,0,196,0,"Vladimir Putin, the Most Influential Man in the World [The New York Times]",Владимир Путин – самый влиятельный человек в мире,"нехудожественная, публицистика",2018,2018,110,1630
15,1,74,0,196,0,Iran’s Terms to Reopen Nuclear Talks? Trump Has to Back Down [New York Times],Каковы условия Ирана для возобновления переговоров по ядерной программе?,"нехудожественная, публицистика",2018,2018,58,1674
16,1,75,0,196,0,Globalists Will Love Trump’s New Nafta Deal [Bloomberg],"Глобалисты полюбят новую НАФТА от Трампа. Несмотря на громогласные фанфары, соглашение меняет не так уж и много","нехудожественная, публицистика",2018,2018,45,1291
17,1,75,29,196,0,A Japan-U.S. Pact Looks Like the Opposite of Free Trade [Bloomberg (США)],Японо-американское соглашение выглядит как полная противоположность свободной торговле,"нехудожественная, публицистика",2018,2018,70,1705
18,1,78,0,196,0,Rob Goldstone on Trump: [The Guardian],"Роб Голдстоун о Трампе: Мне кажется, ему нравится Россия, потому что он ей нравится","нехудожественная, публицистика",2018,2018,212,3856
19,1,79,0,196,0,Russian ambassador: Australian press deny 'freedom of speech' over Skripal [The Sydney Morning Herald],Российский посол: австралийская пресса лишает нас свободы слова в деле Скрипаля,"нехудожественная, публицистика",2018,2018,42,942
20,1,83,0,196,0,America Is Determined to Fight the World [The National Interest],Америка полна решимости бороться со всем миром,"нехудожественная, публицистика",2018,2018,214,3585
21,1,83,0,196,0,The West Should Avoid Starting a New Cold War with Russia [The National Interest],Западу не следует начинать новую холодную войну с Россией,"нехудожественная, публицистика",2018,2018,226,4254
22,1,87,313,196,0,Will the Real Trump Russia Policy Please Stand Up? [Forein Policy],Выстоит ли политика Трампа в отношении России?,"нехудожественная, публицистика",2018,2018,60,1550
23,1,88,0,196,0,"Billy Graham, the Great Uniter, Leaves Behind a Divided Evangelicalism [The Atlantic]","Умер великий объединитель Билли Грэм, оставив после себя расколотое евангельское христианство","нехудожественная, публицистика",2018,2018,122,2479
24,1,93,0,196,0,The U.S. ambassador to NATO just threatened to ‘take out’ a new Russian missile. It’s a bad idea. [The Washington Post (,Посол США в НАТО только что пообещала «уничтожать» новые российские ракеты. Плохая идея,"нехудожественная, публицистика",2018,2018,72,1447
25,1,99,272,196,0,What Oil at $100 a Barrel Would Mean for the Global Economy [Bloomberg],Что значит нефть по 100 долларов за баррель для глобальной экономики?,"нехудожественная, публицистика",2018,2018,102,1784
26,1,109,0,196,0,How does Trump's Space Force compare to Russia and China's space capabilities? [CNN],Насколько военно-космические силы Трампа сопоставимы с военно-космическими потенциалами России и Китая?,"нехудожественная, публицистика",2018,2018,86,2119
27,1,112,0,196,0,Not All Russia-Friendly Policies Are Nefarious [Forein Policy],Не вся пророссийская политика порочна,"нехудожественная, публицистика",2018,2018,134,2969
28,8,113,0,196,0,La Macedonia avrà un nuovo nome ma ancora non ha una sua identità // L'Espresso,"Македония получит новое имя, но у нее пока нет своего лица","нехудожественная, публицистика",2018,2018,96,2559
29,8,114,0,196,0,"Le musulmane a testa bassa, sospese tra due mondi // La Repubblica",Опустив голову: мусульманки между двух миров,"нехудожественная, публицистика",2018,2018,304,5594
30,1,117,0,196,0,Big embarrassment for Britain: lab findings spark social media uproar [The Duran],Большой британский конфуз: выводы лаборатории вызвали бурю в социальных сетях,"нехудожественная, публицистика",2018,2018,22,662
31,1,119,0,196,0,Why the Kremlin publishes uncensored translations of Western news [The Christian Science],Почему Кремль публикует без цензуры переводы статей из западных СМИ,"нехудожественная, публицистика",2018,2018,100,2629
32,1,123,0,196,0,Pitirim Sorokin Revisited [The American Conservative],Возвращение к Питириму Сорокину,"нехудожественная, публицистика",2018,2018,224,3812
33,1,126,0,196,0,“Invisible battalion”: how Ukrainian women secured the right to fight on a par with men [opendemocracy],«Невидимый батальон»: как украинские женщины добились права воевать наравне с мужчинами,"нехудожественная, публицистика",2018,2018,204,5222
34,8,129,0,196,0,"Bunker, cocktail e nostalgia. Viaggio nella Russia di Putin: “Stiamo meglio dell’America” // La Stampa","Бункеры, коктейли и ностальгия. Путешествие в путинскую Россию: «Мы живем лучше, чем Америка»","нехудожественная, публицистика",2018,2018,82,1684
35,1,144,0,196,0,A sweet look at some of the small things that make our lives beautiful [TED],"Нежный взгляд на мелочи, делающие нашу жизнь прекрасной","нехудожественная, публицистика",2018,2018,84,1362
36,1,145,0,196,0,Trump Can’t Split Russia From China — Yet [Bloomberg],Трамп не может разобщить Россию и Китай — пока,"нехудожественная, публицистика",2018,2018,90,2421
37,1,145,0,196,0,Great-Power Rivalry Is Back. The U.S. Is Playing Poorly. [RealClear Politics],Мы снова наблюдаем соперничество между сверхдержавами. И США показывают себя не с лучшей стороны,"нехудожественная, публицистика",2018,2018,106,2536
38,1,147,0,196,0,Here’s why Russia would lose a second Cold War [Fox News],Почему Россия проиграла бы вторую холодную войну,"нехудожественная, публицистика",2018,2018,68,1653
39,1,148,16,196,0,Amber Rudd resigns hours after Guardian publishes deportation targets letter [The Guardian],Эмбер Радд ушла в отставку спустя несколько часов после публикации письма о депортации,"нехудожественная, публицистика",2018,2018,102,2271
40,1,158,0,196,0,"Has Evgenia Medvedeva Missed Her Moment, Even Before It Arrives? [The New York Times]",Евгения Медведева упустила свой шанс?,"нехудожественная, публицистика",2018,2018,112,1714
41,1,162,0,196,0,The 5 Things to Watch at Davos 2019 [Time ],За чем надо следить на форуме в Давосе в 2018 году,"нехудожественная, публицистика",2018,2018,92,1841
42,1,162,0,196,0,These Are the Top 10 Risks to the World in 2018 [Time],10 главных рисков для мира в 2018 году,"нехудожественная, публицистика",2018,2018,116,2020
43,1,177,0,196,0,Trumponomics Triumphant [American Thinker],Триумфальная трампономика,"нехудожественная, публицистика",2018,2018,84,1813
44,1,179,0,196,0,Putin is probably still smirking about Helsinki. He shouldn’t be. [The Washington Post],"Вероятно, Путин до сих пор ухмыляется после саммита в Хельсинки. Напрасно он так","нехудожественная, публицистика",2018,2018,76,1650
45,1,180,0,196,0,Will 2018 be the year of the neo-luddite? [The Guardian],Будет ли 2018 год годом неолуддизма?,"нехудожественная, публицистика",2018,2018,166,3309
46,17,181,0,196,0,Čeští legionáři v Rusku? Nenáviděni i respektováni. Po 100 letech se nic nezměnilo,Чешских легионеров в России ненавидят и уважают. Через сто лет ничего не изменилось,"нехудожественная, публицистика",2018,2018,352,5745
47,1,185,0,196,0,Will Russia Meddle in Italy’s Election? It May Not Have To [The New York Times],"Будет ли Россия вмешиваться в выборы в Италии? Возможно, это и не понадобится","нехудожественная, публицистика",2018,2018,78,2117
48,1,187,0,196,0,Fresh Momentum for the Balkans [Project Syndicate],Свежий импульс на Балканах,"нехудожественная, публицистика",2018,2018,76,1815
49,1,190,0,196,0,How America Could Accidentally Push Russia into a Nuclear War [National Interest ],Как Америка может случайно подтолкнуть Россию к ядерной войне,"нехудожественная, публицистика",2018,2018,160,3163
50,1,192,209,196,0,Trump Clinches Rebranded Nafta as Canada Joins Pact With Mexico [Bloomberg],Ребрендинг НАФТА по Трампу: Канада присоединяется к пакту с Мексикой,"нехудожественная, публицистика",2018,2018,68,1523
51,1,195,0,196,0,Britain believes nerve agent attack likely had Kremlin approval [CNN],"Великобритания считает, что нападение с использованием нервно-паралитического вещества, вероятно, было одобрено Кремлем","нехудожественная, публицистика",2018,2018,48,1180
52,1,203,0,196,0,Commentary: Three liberal prophets of doom [Reuters],Три либеральных пророка,"нехудожественная, публицистика",2018,2018,70,1736
53,1,204,0,196,0,Ryan Zinke: Naval blockade is an option for dealing with Russia [Washington Examiner],Райан Зинке: морская блокада — это один из сценариев взаимодействия с Россией,"нехудожественная, публицистика",2018,2018,30,650
54,1,217,0,196,0,Meet the dogs of Chernobyl – the abandoned pets that formed their own canine community [The Guardian],Собаки Чернобыля: брошенные питомцы сформировали собственную общину 30 лет после Чернобыля,"нехудожественная, публицистика",2018,2018,92,1320
55,1,226,0,196,0,Why Did I Teach My Son to Speak Russian? [The New Yorker ],Почему я учил своего сына говорить по-русски?,"нехудожественная, публицистика",2018,2018,562,8552
56,1,230,0,196,0,Submarine Dog Fight: America's Virginia Class vs. Russia's New Yasen Submarine [The National Interest],Кто победит в подводной войне: американская субмарина типа «Вирджиния» или новая российская лодка проекта «Ясень»,"нехудожественная, публицистика",2018,2018,108,2302
57,1,232,0,196,0,"Putin Wants Modern Weapons, Not a Modern Russia [The Moscow Times]","Путину нужно современное оружие, а не современная Россия","нехудожественная, публицистика",2018,2018,122,2158
58,1,236,0,196,0,How Elon Musk Beat Russia's Space Program [Bloomberg Opinion],Как Илон Маск обошел космическую программу России,"нехудожественная, публицистика",2018,2018,98,1804
59,1,236,0,196,0,Musk Should Go Ahead and Build ‘Pravda’ [Bloomberg Opinion],Маску следует двигаться вперед и делать «Правду»,"нехудожественная, публицистика",2018,2018,84,1801
60,1,236,0,196,0,You Can Hate Putin But Love the World Cup [Bloomberg],"Можно ненавидеть Путина, но любить чемпионат мира по футболу","нехудожественная, публицистика",2018,2018,64,1585
61,1,240,0,196,0,"Graham, Menendez, Gardner, Cardin, McCain, Shaheen Introduce Hard-Hitting Russia Sanctions Package [Lindsey Graham]","Грэм, Менедес, Гарднер, Кардин, Маккейн и Шахин вносят пакет жестких санкций в отношении России","нехудожественная, публицистика",2018,2018,98,2420
62,1,259,0,196,0,Putin’s Moscow Is a New Kind of Potemkin Village [Bloomberg],Путинская Москва — новый вид потемкинской деревни,"нехудожественная, публицистика",2018,2018,100,1830
63,1,264,0,196,0,"Russian Ministry of Defence shows new missile test videos on social media [The Telegraph UK, ]",Путин играет ядерными мускулами,"нехудожественная, публицистика",2018,2018,20,500
64,1,265,0,196,0,Why does anybody watch the Oscars? [The Week],Зачем люди смотрят вручение премии Оскар?,"нехудожественная, публицистика",2018,2018,74,1606
65,1,271,0,196,0,Is Russia Developing Another 100-Megaton Super-Torpedo? [The National Interest],"Правда, что Россия снова разрабатывает суперторпеду в 100 мегатонн?","нехудожественная, публицистика",2018,2018,54,1274
66,1,268,0,196,0,Secretary of State Rex Tillerson: [CNBC],Рекс Тиллерсон:,"нехудожественная, публицистика",2018,2018,42,805
67,8,273,0,196,0,Il volo infranto // Il Foglio,Прерванный полет Юрия Гагарина,"нехудожественная, публицистика",2018,2018,222,3913
68,1,280,0,196,0,"Macron and the west must not play along with Putin’s Syria endgame [The Guardian, ]",Макрон и Запад не должны участвовать в сирийском эндшпиле Путина,"нехудожественная, публицистика",2018,2018,66,1507
69,1,281,0,196,0,BRITAIN will send 800 troops to the Arctic next year to stop Russia grabbing land as the ice caps melt. [The Sun],"Британия отправит 800 военных в Арктику, чтобы остановить захват Россией территорий по мере таяния ледяного покрова","нехудожественная, публицистика",2018,2018,24,500
70,1,282,0,196,0,Russian Plane Crash Kills All 71 Aboard [The New York Times],Катастрофа российского самолета в Подмосковье: 71 погибший,"нехудожественная, публицистика",2018,2018,68,1447
71,1,295,0,196,0,Sweden’s Russia Problem [Project syndicate],Проблема России в Швеции,"нехудожественная, публицистика",2018,2018,70,1445
72,1,300,0,196,0,"F-35 crashes for the first time in the jet’s 17-year history, pilot ejects safely [The Washington Post]","Первое за 17 лет крушение Ф-35, пилот катапультировался","нехудожественная, публицистика",2018,2018,40,1040
73,1,301,0,196,0,Russia may have just spread disinformation on Facebook. Where’s Trump? [The Washington Post],"Возможно, Россия только что распространила дезинформацию в «Фейсбуке». Где Трамп?","нехудожественная, публицистика",2018,2018,66,1699
