,name,texts_number,texts_percent
1,Adrian Esa,1,0.00038491147036181676
2,Adriano Dell'Asta,1,0.00038491147036181676
3,Aina Rudzroga,2,0.0007698229407236335
4,Alena Morávková,2,0.0007698229407236335
5,Alessandro Lazzari,2,0.0007698229407236335
6,Alexander Eliasberg,10,0.003849114703618168
7,Alexis Berelowitch,3,0.0011547344110854503
8,Andreas Tretner,3,0.0011547344110854503
9,Andrejs Kurcijs,2,0.0007698229407236335
10,Andrew R. MacAndrew,1,0.00038491147036181676
11,André Markowicz,2,0.0007698229407236335
12,Andrzej Stawar,1,0.00038491147036181676
13,Anna Grēviņa,9,0.003464203233256351
14,Anna Ozola-Sakse,1,0.00038491147036181676
15,Antonina W. Bouis,1,0.00038491147036181676
16,Antonio Bonnana,1,0.00038491147036181676
17,Argia Michettoni,1,0.00038491147036181676
18,Arthur Adamov,1,0.00038491147036181676
19,Arthur Luther,1,0.00038491147036181676
20,August Scholz,2,0.0007698229407236335
21,Bengt Jangfeldt,1,0.00038491147036181676
22,Bernard Isaacs,16,0.006158583525789068
23,Bernard Kreise,2,0.0007698229407236335
24,Bohumil Mathesius,1,0.00038491147036181676
25,Brian Pearce,1,0.00038491147036181676
26,Bruno Osimo,1,0.00038491147036181676
27,Bruno Sermonne,1,0.00038491147036181676
28,C. J. Hogarth,4,0.001539645881447267
29,Carlos Robles,1,0.00038491147036181676
30,Christine Zeytounian-Beloüs,1,0.00038491147036181676
31,Claire von Glümer,1,0.00038491147036181676
32,Clara Brauner,1,0.00038491147036181676
33,Claude Ligny,3,0.0011547344110854503
34,Claudia Zonghetti,3,0.0011547344110854503
35,Clemente Rebora,1,0.00038491147036181676
36,Constance Black Garnett,2,0.0007698229407236335
37,Constance Garnett,47,0.018090839107005388
38,Costantino Di Paola,1,0.00038491147036181676
39,Cristina Bongiorno,2,0.0007698229407236335
40,D. Bubinas,1,0.00038491147036181676
41,D. J. Hogarth,6,0.0023094688221709007
42,Daria Mangione,2,0.0007698229407236335
43,David Floyd,1,0.00038491147036181676
44,David Skvirsky,1,0.00038491147036181676
45,Dmitri Nabokov,57,0.021939953810623556
46,Duchessa D'Andria,1,0.00038491147036181676
47,E. K. Rahsin,1,0.00038491147036181676
48,E. Viskanta,1,0.00038491147036181676
49,Elin Parkman,1,0.00038491147036181676
50,Elizabeth Chandler,1,0.00038491147036181676
51,Ellen Ryddelius,1,0.00038491147036181676
52,Emanuela Guercetti,2,0.0007698229407236335
53,Enrique Fernandez Vernet,1,0.00038491147036181676
54,Eridano Bazzarelli,1,0.00038491147036181676
55,Erik Jonsson,1,0.00038491147036181676
56,Ester Riwkin,3,0.0011547344110854503
57,Eugenio Wenceslao Foulques,4,0.001539645881447267
58,Eve Manning,6,0.0023094688221709007
59,Édouard Parayre,1,0.00038491147036181676
60,Élisabeth Guertik,1,0.00038491147036181676
61,F. Mariano,1,0.00038491147036181676
62,Fausto Malcovati,2,0.0007698229407236335
63,Federica Aceto,1,0.00038491147036181676
64,Federigo Verdinois,1,0.00038491147036181676
65,Fega Frisch,1,0.00038491147036181676
66,Francesca Legittimo,1,0.00038491147036181676
67,Françoise Flamant,1,0.00038491147036181676
68,Franklin P. Abbott,1,0.00038491147036181676
69,Fred Ottow,1,0.00038491147036181676
70,Friedrich Kõlli,1,0.00038491147036181676
71,Friedrich von Bodenstedt,2,0.0007698229407236335
72,Ganna-Maria Braungardt,1,0.00038491147036181676
73,George H. Hanna,1,0.00038491147036181676
74,Giorgio Kraiski,1,0.00038491147036181676
75,Giovanna Moracci,1,0.00038491147036181676
76,Giulia Arborio Mella,1,0.00038491147036181676
77,Giuseppe Garritano,1,0.00038491147036181676
78,Harald Haug,1,0.00038491147036181676
79,Helen Salts Jacobson,11,0.004234026173979984
80,Henryk Chłystowski,2,0.0007698229407236335
81,Herman Bernstein,1,0.00038491147036181676
82,Hermann Röhl,10,0.003849114703618168
83,Hjalmar Dahl,1,0.00038491147036181676
